251,250,250
252,250,249
253,249,248
254,248,247
254,247,246
255,246,244
255,244,243
255,243,241
255,241,239
255,240,237
255,238,236
255,237,234
255,235,232
255,233,230
255,232,228
255,230,226
255,228,224
255,227,222
255,225,220
255,223,218
254,222,217
254,220,215
254,218,213
254,217,211
254,215,209
254,213,207
254,212,205
253,210,203
253,208,201
253,207,200
253,205,198
253,203,196
252,202,194
252,200,192
252,198,190
252,197,188
252,195,187
251,193,185
251,192,183
251,190,181
250,188,179
250,187,177
250,185,176
250,183,174
249,182,172
249,180,170
249,178,168
248,177,166
248,175,165
248,173,163
247,172,161
247,170,159
247,168,157
246,167,156
246,165,154
245,164,152
245,162,151
245,161,149
244,159,147
244,158,146
244,157,145
243,156,144
243,155,143
243,155,143
243,154,142
243,154,142
243,155,143
243,155,143
244,156,144
244,157,145
244,158,146
244,159,148
245,161,149
245,162,151
245,164,153
246,166,154
246,167,156
247,169,158
247,171,160
247,172,161
248,174,163
248,176,165
248,177,167
249,179,169
249,181,171
249,182,172
250,184,174
250,185,176
250,187,178
251,189,180
251,190,182
251,192,183
251,194,185
252,195,187
252,197,189
252,199,191
252,200,193
253,202,194
253,204,196
253,205,198
253,207,200
253,209,202
253,210,204
254,212,206
254,214,208
254,215,209
254,217,211
254,219,213
254,220,215
255,222,217
255,224,219
255,225,221
255,227,223
255,229,225
255,230,227
255,232,228
255,234,230
255,235,232
255,237,234
255,239,236
255,240,238
254,242,240
254,243,241
254,244,243
253,246,245
252,247,246
251,247,247
250,248,248
248,249,249
246,249,250
244,249,250
242,249,250
240,248,251
238,248,251
235,247,250
233,246,250
230,245,250
227,245,249
225,244,249
222,243,248
219,242,248
216,241,247
214,240,247
211,239,246
208,238,246
205,237,245
202,236,245
199,235,244
197,234,243
194,233,243
191,232,242
188,231,242
185,230,241
182,229,241
179,228,240
176,227,240
173,226,239
170,225,239
167,224,238
164,223,237
161,222,237
158,221,236
155,220,236
151,219,235
148,217,235
145,216,234
141,215,234
138,214,233
135,213,233
131,212,232
128,211,231
124,210,231
120,209,230
117,208,230
113,207,229
109,206,229
105,205,228
101,204,228
96,203,227
92,202,226
87,201,226
83,200,225
78,199,225
73,198,224
68,197,224
63,197,223
58,196,223
53,195,223
49,195,222
46,194,222
44,194,222
44,194,222
45,194,222
47,194,222
50,195,223
54,195,223
59,196,223
64,197,224
69,198,224
74,199,225
79,200,225
84,200,226
88,201,226
93,202,227
97,203,227
102,204,228
106,206,228
110,207,229
114,208,229
117,209,230
121,210,230
125,211,231
128,212,232
132,213,232
135,214,233
139,215,233
142,216,234
146,217,234
149,218,235
152,219,235
155,220,236
158,221,236
162,222,237
165,223,238
168,224,238
171,225,239
174,226,239
177,227,240
180,228,240
183,229,241
186,230,241
189,231,242
191,232,242
194,233,243
197,234,244
200,235,244
203,236,245
206,237,245
209,238,246
211,239,246
214,240,247
217,241,247
220,242,248
222,243,248
225,244,249
228,245,250
231,246,250
233,247,250
236,248,251
238,248,251
240,249,252
243,250,252
245,250,252
247,250,252
248,251,251
250,251,251
